gid_0,gid_1,name_0,name_1,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
VUT,VUT.3_1,Vanuatu,Sanma,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.3_1,Vanuatu,Sanma,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.4_1,Vanuatu,Shefa,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.4_1,Vanuatu,Shefa,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.5_1,Vanuatu,Tafea,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.5_1,Vanuatu,Tafea,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.6_1,Vanuatu,Torba,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.6_1,Vanuatu,Torba,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.6_1,Vanuatu,Torba,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.1_1,Samoa,A'ana,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.1_1,Samoa,A'ana,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.1_1,Samoa,A'ana,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.2_1,Samoa,Aiga-i-le-Tai,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.2_1,Samoa,Aiga-i-le-Tai,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.2_1,Samoa,Aiga-i-le-Tai,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
