gid_0,gid_1,name_0,name_1,year,scenario,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
AFG,AFG.12_1,Afghanistan,Hirat,2030,bau,bws,One,4.70207798,205,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,pes,bws,One,4.713486612,197,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,opt,bws,One,4.671761292,236,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,bau,bws,One,4.745381665,240,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,pes,bws,One,4.788858167,223,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,opt,bws,One,4.738116647,234,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,bau,bws,One,4.850199021,260,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,pes,bws,One,4.82507035,235,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,opt,bws,Dom,2.053445431,1214,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,opt,bws,Ind,2.71661309,970,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,opt,bws,Irr,1.827328466,1337,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,opt,bws,Liv,2.409384368,1071,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,opt,bws,Tot,1.837525401,1377,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,bau,bws,Dom,1.9882062,1229,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,bau,bws,Ind,2.639749986,976,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,bau,bws,Irr,1.862410989,1318,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,bau,bws,Liv,2.354528394,1068,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,bau,bws,Tot,1.869503003,1349,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,pes,bws,Dom,2.066307083,1207,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,pes,bws,Ind,2.72751411,957,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,pes,bws,Irr,1.861190037,1309,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,pes,bws,Liv,2.393885364,1076,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2030,pes,bws,Tot,1.870756534,1365,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,opt,bws,Dom,1.836762613,1352,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,opt,bws,Ind,2.20750047,1173,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,opt,bws,Irr,1.536601897,1519,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,opt,bws,Liv,2.157887582,1185,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,opt,bws,Tot,1.559837182,1574,1,Low - Medium (10-20%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,bau,bws,Dom,2.144566607,1225,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,bau,bws,Ind,2.373878339,1135,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,bau,bws,Irr,2.110309646,1283,2,Medium - High (20-40%),Asia,South Asia
AFG,AFG.13_1,Afghanistan,Jawzjan,2050,bau,bws,Liv,2.461960696,1085,2,Medium - High (20-40%),Asia,South Asia
